UCL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL221021,0,0,4,3,0,0,0,0,0,13,0,0,5,0,3,4,3,0,0,15,13,32,93,72,62,70,15,0,0,356
UCL221022,0,0,0,5,0,0,0,0,0,7,0,0,0,4,0,3,0,0,0,5,8,11,45,44,63,44,35,0,0,252
UCL221023,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,6,10,14,22,22,47,51,18,0,0,175
UCL221024,0,0,3,5,3,8,4,0,0,23,0,0,3,0,0,4,0,0,0,13,26,32,47,44,84,111,28,5,0,381
UCL221025,0,0,3,0,4,3,0,0,0,8,0,0,4,0,3,0,0,0,0,15,18,9,52,44,54,68,20,0,4,257
UCL221026,0,4,5,0,0,0,0,0,0,9,0,0,0,0,3,3,0,0,0,8,13,17,51,42,59,64,10,0,0,257
UCL221027,3,0,6,0,0,7,5,0,0,11,0,0,3,0,0,11,0,0,0,11,6,20,52,32,50,66,14,4,0,243
UCL221028,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,7,0,0,0,6,13,19,15,33,62,99,70,15,0,316
UCL221029,0,0,3,0,0,0,0,0,0,15,0,6,5,0,3,7,0,0,0,18,26,31,86,59,77,69,12,0,0,364
UCL221030,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,11,3,3,13,12,48,56,16,0,0,151
