UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL215067,4,0,0,0,0,7,0,0,0,14,0,0,0,0,3,0,0,0,3,19,26,47,41,41,44,96,21,80,9,409
UCL215068,0,3,4,3,10,5,0,5,0,40,4,6,4,0,5,4,0,6,3,35,80,211,165,117,199,174,49,111,22,1122
UCL215069,3,11,7,5,0,3,0,3,0,34,0,8,0,7,3,8,0,0,11,40,117,267,194,110,172,276,85,159,32,1411
UCL215070,5,0,7,8,8,9,0,6,0,45,0,9,3,3,15,13,0,11,17,69,47,164,145,116,256,204,61,125,35,1161
UCL215071,4,13,11,3,5,15,8,7,0,71,4,7,10,0,14,14,0,7,16,75,107,270,232,152,337,417,124,209,30,1877
UCL215072,0,0,3,9,0,4,6,3,0,20,4,12,10,4,26,9,3,8,39,114,33,122,62,66,258,155,57,86,64,908
UCL215073,3,13,5,7,8,11,3,3,0,55,9,4,0,0,7,7,5,6,13,52,70,168,132,97,174,178,68,153,29,1059
UCL215074,11,10,20,8,22,24,14,23,4,137,3,9,4,8,19,27,4,17,12,109,152,331,271,168,460,572,194,326,39,2504
UCL215075,0,4,4,3,0,9,4,8,0,27,0,3,0,0,8,3,0,0,3,21,38,68,63,30,117,87,25,60,14,504
UCL215076,4,4,3,5,6,4,3,4,0,43,0,5,0,0,7,4,0,0,4,29,58,140,118,83,186,238,54,123,21,1026
UCL215077,0,8,4,0,0,4,0,3,0,19,0,0,3,3,3,4,0,0,3,16,40,126,97,74,100,127,41,69,12,678
UCL215078,3,10,9,3,10,21,0,5,0,64,5,3,9,3,11,10,9,3,7,48,59,147,129,76,206,233,58,102,14,1020
UCL215079,3,4,0,4,9,9,6,0,0,29,3,4,0,3,5,4,0,0,0,27,50,133,110,72,146,155,44,98,14,826
UCL215080,7,5,0,11,6,10,0,0,0,49,4,6,4,0,10,12,3,6,10,46,58,142,105,79,198,195,55,110,17,966
UCL215081,3,16,8,7,8,17,6,5,0,81,5,8,7,0,11,10,4,3,6,54,105,251,224,160,330,418,163,202,19,1873
UCL215082,5,9,6,3,11,11,6,0,0,43,4,6,4,0,12,10,7,9,7,55,86,174,105,84,219,239,67,133,24,1128
UCL215083,6,4,0,4,3,9,0,14,0,45,0,15,4,0,3,7,0,0,9,43,51,125,82,80,143,161,58,124,33,862
UCL215084,6,0,6,0,0,13,0,0,0,27,0,4,0,0,6,0,3,0,10,37,35,79,58,53,115,98,41,43,18,533
UCL215085,0,0,4,0,7,4,0,0,0,18,0,0,0,4,8,0,4,5,3,24,46,69,71,31,126,134,28,70,11,578
UCL215086,3,6,12,5,9,14,4,14,0,63,6,11,4,4,16,5,5,3,18,69,102,261,205,135,328,305,98,210,36,1672
UCL215087,0,4,7,3,16,12,0,5,0,46,5,0,4,7,4,12,5,4,10,38,49,114,100,56,153,168,51,114,24,825
UCL215088,4,3,4,4,4,4,4,0,0,27,4,11,6,5,5,10,0,4,6,52,58,133,94,77,133,123,30,75,8,742
UCL215089,5,5,3,0,8,10,4,3,0,34,0,3,0,0,3,5,0,5,12,32,63,129,111,77,161,196,38,92,25,886
UCL215090,3,0,0,4,5,5,4,0,0,25,3,4,5,4,4,10,0,7,7,40,62,134,87,82,169,194,43,111,17,892
UCL215091,8,5,4,6,7,3,0,0,0,32,0,9,0,0,10,11,0,13,0,46,45,149,105,81,114,180,42,145,8,868
UCL215092,8,14,11,4,6,11,3,8,0,68,4,14,0,5,7,12,5,16,6,64,139,332,225,199,298,441,145,273,13,2066
UCL215093,14,25,21,8,17,35,9,16,0,145,0,7,6,5,26,18,3,15,15,93,133,303,244,172,444,465,132,195,37,2123
UCL215094,0,9,0,0,4,3,0,6,0,20,3,8,0,0,5,7,0,0,5,21,34,77,40,42,86,91,25,45,13,453
UCL215095,0,0,0,0,6,9,0,0,0,21,0,3,6,3,6,9,4,0,8,27,26,76,61,39,109,89,33,37,14,476
UCL215096,4,12,6,3,17,8,4,12,0,76,0,6,5,4,4,11,6,0,12,57,67,168,142,97,224,273,71,155,25,1226
UCL215097,12,8,8,7,10,14,3,10,0,67,5,11,8,8,18,15,0,10,19,83,93,210,172,131,284,305,66,125,44,1426
UCL215098,6,0,0,0,6,5,5,3,0,28,0,8,0,0,6,0,0,0,4,21,45,92,79,46,119,121,40,63,9,620
UCL215099,0,6,3,5,0,0,0,0,0,25,4,0,5,0,5,4,0,6,9,31,33,102,78,65,81,106,32,61,16,570
UCL215100,0,5,3,3,0,0,0,0,0,15,0,5,4,0,4,4,0,3,3,16,29,84,66,48,65,96,24,54,11,464
UCL221001,0,0,0,3,4,4,0,0,0,13,0,0,3,0,0,6,0,0,0,16,31,50,45,26,63,91,30,38,11,396
UCL221002,0,4,0,0,3,3,0,0,0,12,0,0,0,4,4,0,0,0,0,8,25,71,47,26,82,73,22,51,5,391
UCL221003,0,0,0,0,5,4,0,0,0,11,0,4,0,0,8,0,0,4,5,16,15,41,26,37,52,53,13,34,6,280
UCL221004,0,7,6,3,0,5,0,5,0,30,0,3,3,0,3,3,0,5,3,22,32,124,73,48,100,104,29,95,12,606
