UCL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL215054,8,17,8,18,5,49,0,5,16,18,47,6,97,0,0,0,0,3,0,3,0,0,0,0,16,0,21,0,0,0,0,10,4,20,5,11,51,60,290,27,456
UCL215055,3,14,9,4,0,45,7,3,29,33,21,0,93,0,0,0,4,0,0,8,0,0,3,3,14,0,20,0,0,4,0,8,0,12,35,15,115,94,162,12,443
UCL215056,3,10,8,4,0,28,0,7,15,25,45,3,96,0,0,3,4,0,0,9,0,0,5,3,17,0,22,0,0,3,4,10,0,16,8,17,63,71,233,11,399
UCL215057,15,41,9,13,3,87,16,13,37,24,37,9,125,0,4,3,0,3,0,9,0,0,0,5,16,0,28,0,0,6,0,10,0,25,29,26,129,94,238,19,539
UCL215058,0,8,5,8,0,26,4,5,14,20,16,0,59,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,6,0,0,0,0,10,4,54,45,136,3,255
UCL215059,24,51,13,18,0,128,11,15,30,21,33,9,113,3,4,12,11,17,0,58,0,0,3,0,8,0,8,0,0,0,0,5,7,14,73,53,212,109,270,22,745
UCL215060,7,31,3,18,0,65,7,9,59,42,46,9,182,0,0,0,0,3,0,6,0,0,3,5,22,0,31,0,0,3,4,14,0,24,29,28,160,138,397,38,792
UCL215061,12,28,6,8,3,61,3,3,22,15,27,3,85,0,0,8,0,0,0,6,0,0,0,3,11,0,17,0,0,3,5,4,6,15,16,23,103,81,269,26,518
UCL215062,8,21,11,7,0,48,3,6,28,24,28,7,91,0,0,0,0,4,0,4,0,0,0,3,16,0,20,0,0,0,0,18,4,26,16,16,75,62,205,16,389
UCL215063,8,19,4,14,0,49,0,4,13,18,15,0,51,0,0,0,3,0,0,3,0,0,0,4,8,0,20,0,0,0,0,13,0,12,13,12,50,73,153,7,315
