SA1_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
20103101623,32,1517,873,320,1968,0.7,1774,2.5
20103101701,58,748,448,200,927,0.7,710,1.8
20103101702,44,1350,742,250,1906,0.7,1625,2.6
20103101703,45,1083,522,220,1333,0.8,812,2.3
20103101704,59,867,465,147,1083,0.7,807,2
20103101705,60,672,476,160,985,0.7,702,1.8
20103101706,50,911,572,220,1392,0.7,1051,2.3
20103101707,56,1221,495,190,1305,0.8,1022,2.2
20103101708,61,753,457,160,1292,0.7,733,1.8
20103101709,52,1300,560,230,1416,0.7,1233,2.4
20103101710,54,1083,507,100,1375,0.7,1023,2.2
20103101711,46,1300,606,250,1724,0.8,1489,2.7
20103101712,52,1073,478,200,1284,0.8,952,2.4
20103101713,56,800,461,195,1181,0.8,788,2.1
20103101714,50,1083,558,270,1327,0.8,1174,2.4
20103101715,52,1408,491,278,1583,0.7,1050,2.4
20201101801,38,1040,559,250,1292,0.8,963,2.3
20201101802,40,1400,816,300,1963,0.7,1489,2
20201101803,39,1408,729,300,1770,0.8,1389,2.1
20201101804,48,1300,666,265,1542,0.7,1228,2.3
20201101806,47,1083,615,270,1357,0.7,1072,2.1
20201101807,40,1108,667,265,1562,0.8,1199,2.3
20201101808,33,1300,698,268,1625,0.8,1333,2.4
20201101809,38,1408,873,270,2019,0.8,1365,2
20201101810,45,1250,828,310,1687,0.8,1392,2
20201101811,46,914,453,150,924,0.8,653,2
20201101812,29,1083,413,150,872,0.9,767,2.7
20201101813,40,1519,730,280,1816,0.8,1330,2.2
20201101814,46,1394,806,280,2062,0.7,1645,2.2
20201101815,43,1517,955,300,2250,0.7,1431,2
20201101816,43,1800,853,290,2272,0.8,1615,2.1
20201101817,39,1092,658,278,1366,0.7,1081,2
20201101818,39,1092,567,280,1152,0.7,1043,2.2
20201101819,39,1300,671,285,1437,0.7,1011,2.2
20201101820,61,1400,589,240,1437,0.8,1449,2.2
20201101821,48,1918,1134,350,2774,0.7,2161,2.2
20201101822,48,1842,1050,300,2392,0.7,1843,2.1
20201101823,43,1257,707,235,1764,0.7,1343,2.2
20201101824,42,1269,796,278,2159,0.7,1329,2.1
20201101825,42,1343,496,280,1481,0.7,1216,2.1
20201101826,39,1087,760,260,1474,0.7,1256,2
20201101827,43,1402,697,278,1491,0.7,1138,1.9
20201101828,36,1192,593,250,1171,0.7,936,2
20201101829,37,1733,984,280,1875,0.7,1261,2.1
20201101830,33,1192,718,300,1662,0.8,1312,2.3
20201101831,34,1354,873,315,2137,0.8,1434,2.1
20201101832,35,1300,669,280,1392,0.8,1140,2.2
20201101833,35,1400,769,300,1774,0.8,1449,2.3
20201101834,40,1559,954,320,2323,0.7,1902,2.1
20201101835,41,1300,790,320,1662,0.7,1346,1.9
20201101836,32,1020,469,225,1078,0.8,944,2.5
20201101837,39,1150,712,280,1625,0.7,1258,2.2
20201101838,33,1192,592,250,1208,0.7,1042,2.2
20201101839,51,1180,653,280,1805,0.7,1261,2.2
20201101903,45,1083,527,283,1354,0.7,1008,2.2
20201101904,32,1410,569,240,1171,0.9,1051,2.9
20201101905,48,1083,535,253,1303,0.7,891,1.9
20201101906,44,1625,637,320,1468,0.8,1375,2.8
20201101908,52,1192,578,250,1318,0.7,1004,2
20201101909,46,1213,592,270,1509,0.7,978,2.1
20201101910,45,1300,705,300,1681,0.7,1428,2.4
20201101911,39,1127,739,270,1478,0.8,1134,2.1
20201101913,45,919,592,245,1357,0.7,987,2.2
20201101914,48,1159,514,130,1361,0.8,657,1.7
20201101915,42,1192,652,270,1479,0.7,1258,2.3
20201101916,57,900,491,250,1399,0.7,941,1.9
20201101917,38,1127,687,250,1424,0.8,1067,1.9
20201101918,44,1101,606,290,1420,0.8,1208,2.4
20201101919,48,1300,712,290,1601,0.7,1460,2.5
20201101921,28,1402,592,250,1355,0.8,1133,2.8
20201101922,38,1322,643,272,1562,0.8,1290,2.4
20201101923,44,1196,618,270,1547,0.7,1156,2.2
20201101924,41,1083,554,270,1265,0.7,1007,2.3
20201101925,30,1517,986,340,2324,0.7,2112,2.7
20201101926,34,1446,845,350,1788,0.7,1609,2.7
20201101927,43,1148,519,250,1284,0.7,911,2.1
20201101928,27,1536,938,380,2078,0.8,2030,3
20201101929,46,1192,601,280,1536,0.7,1130,2.3
