SAL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SAL22671,7,14,6,8,0,33,5,0,0,6,0,0,12,0,0,0,0,0,0,9,0,0,0,0,3,0,3,0,0,0,4,0,0,5,22,12,53,33,58,3,177
SAL22672,0,9,0,0,0,10,3,0,4,5,0,4,15,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,3,30,23,73,9,145
SAL22673,7,56,20,16,0,116,8,14,57,54,49,3,191,0,0,6,4,9,0,16,0,0,3,5,50,0,63,5,0,4,9,26,4,48,45,45,239,213,572,25,1147
SAL22674,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,0,25
SAL22675,0,0,0,0,0,3,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,10,5,25,3,49
SAL22676,4,8,11,18,0,56,4,5,10,16,23,0,60,0,0,0,0,0,0,0,0,0,0,3,30,0,32,0,0,0,0,13,4,22,30,18,55,81,279,28,483
SAL22677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL22678,0,8,4,0,0,11,4,3,6,3,0,0,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,22,15,29,5,84
SAL22679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL22680,87,259,68,131,10,628,156,140,503,335,419,33,1582,4,3,10,11,32,0,52,13,3,21,43,172,0,250,9,3,12,18,91,38,167,353,309,1281,979,2524,212,5665
