SAL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SAL22107,2251,4451,7,49,130,558,16,80,1010,3722,1171,4414,63,249,194,656,214,680,470,1588,1640,5999,4,19,37,118,18,50,245,583,301,772,21,69,115,226,223,467,356,768,660,1536,76,150,4633,12134
SAL22108,41,82,0,0,0,0,0,0,8,19,3,23,0,0,0,0,5,12,5,8,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,8,12,8,12,0,0,57,125
SAL22109,819,1621,4,18,24,116,0,20,134,531,162,686,18,71,24,70,92,283,129,419,295,1106,6,7,6,17,3,19,40,107,50,153,3,12,13,29,75,158,91,201,142,351,19,35,1271,3113
SAL22110,1255,2515,20,107,67,295,26,137,453,1758,565,2297,33,135,63,198,192,596,292,930,860,3220,4,35,40,129,23,79,202,552,273,793,10,22,50,100,183,391,240,516,516,1312,35,68,2665,7114
SAL22111,111,227,0,0,10,32,0,11,41,171,52,212,4,23,7,24,17,45,29,91,83,301,0,0,0,0,0,0,11,29,12,34,0,0,4,12,12,20,16,37,27,66,0,7,221,598
SAL22112,91,185,0,0,11,45,0,0,34,136,42,179,3,9,14,45,31,83,42,135,84,316,0,4,0,6,0,0,0,6,6,10,0,0,0,0,10,13,8,16,9,29,0,0,192,527
SAL22113,175,347,0,0,0,0,0,3,10,47,12,50,3,11,4,16,12,27,16,51,27,109,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,9,8,12,8,16,0,0,218,469
SAL22114,23,42,0,0,0,7,0,0,5,26,11,29,0,0,0,4,3,14,5,21,18,54,0,0,0,3,0,0,0,4,0,9,0,0,0,0,0,0,0,0,3,12,0,0,37,107
SAL22115,18,39,3,16,3,22,3,8,7,24,15,62,0,0,0,3,3,15,6,22,20,85,0,0,3,3,0,0,0,3,7,7,0,4,0,0,4,8,6,10,9,20,0,3,48,152
SAL22116,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL22117,8,12,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,8,4,8,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,12,28
SAL22118,1622,3216,4,22,53,231,6,11,530,1899,600,2165,26,107,82,271,77,245,182,628,780,2791,0,4,19,42,0,0,83,175,99,219,6,29,51,107,119,245,179,378,278,602,86,174,2760,6787
SAL22119,5,13,0,0,0,5,0,0,0,4,3,12,0,0,0,4,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,34
SAL22120,3,3,0,0,0,4,0,3,0,8,3,16,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21
SAL22121,3350,6746,35,218,283,1263,32,149,2196,8159,2550,9790,201,885,301,1096,591,1955,1096,3938,3648,13720,8,34,64,208,15,59,421,1002,503,1304,52,173,163,363,633,1440,847,1977,1360,3283,271,579,8624,24332
SAL22122,240,489,0,0,12,67,0,3,103,385,117,461,10,31,27,91,17,45,48,166,171,632,0,0,10,18,0,12,21,58,29,82,6,14,7,12,20,47,31,76,60,155,12,25,491,1300
SAL22123,35,64,0,4,0,12,0,0,17,60,20,81,0,3,0,4,4,16,5,23,22,102,0,0,0,0,0,0,3,6,5,9,0,0,0,0,5,5,5,5,6,11,0,4,67,182
SAL22124,64,124,4,18,13,64,6,23,116,441,134,539,0,0,0,8,6,14,8,19,140,563,0,0,0,0,0,0,3,7,3,7,0,0,0,3,0,0,4,6,5,17,0,0,214,700
SAL22125,3,7,0,3,0,0,0,0,0,9,4,12,0,0,0,3,0,5,4,8,9,26,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,10,34
SAL22126,0,0,0,0,0,7,0,0,4,9,5,9,0,0,0,0,0,4,0,4,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14
SAL22127,41,82,5,7,5,15,0,0,18,76,25,102,0,0,0,7,10,37,13,37,37,136,0,0,0,0,0,0,4,16,4,16,0,0,0,0,9,15,9,15,9,29,0,0,89,248
SAL22128,10,11,0,0,0,0,0,0,6,20,6,20,0,0,0,0,0,0,0,0,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,39
SAL22129,85,164,0,6,4,26,7,26,59,222,69,287,8,20,4,14,17,48,24,89,96,378,0,4,0,9,0,0,10,26,12,38,0,7,8,19,12,29,18,48,38,87,4,5,213,631
SAL22130,57,121,0,0,6,38,0,0,21,106,33,141,5,11,3,18,9,39,21,68,53,207,0,0,4,11,0,0,14,40,22,51,0,0,3,3,9,19,12,28,32,81,0,4,149,420
SAL22131,34,70,0,0,0,9,0,0,0,5,0,13,0,6,0,0,0,16,6,15,10,28,0,0,0,6,0,4,6,11,4,18,0,3,0,4,0,10,6,17,11,33,0,3,59,137
SAL22132,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL22133,49,99,0,0,7,33,0,9,26,91,34,130,4,31,3,8,10,24,21,62,50,198,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,9,5,9,4,11,0,0,105,304
SAL22134,261,505,4,28,32,161,8,37,133,516,186,739,6,38,24,76,33,105,64,215,245,954,0,0,12,41,3,16,56,138,74,197,4,3,15,31,34,78,49,108,121,306,10,23,640,1792
SAL22135,278,552,0,7,16,53,0,9,49,201,65,264,4,29,15,43,38,113,61,189,127,449,0,6,5,11,0,0,8,24,11,39,0,0,11,18,17,38,31,60,44,105,4,9,451,1112
SAL22136,39,71,0,0,3,11,0,0,9,40,17,54,0,0,3,6,5,3,6,9,20,63,0,0,0,5,0,10,0,5,4,16,0,4,0,0,3,11,6,10,13,27,0,0,67,160
SAL22137,104,207,0,4,4,28,0,0,33,127,38,157,0,6,11,27,15,37,23,70,60,228,0,0,0,0,0,0,9,21,9,21,0,4,0,7,10,15,9,22,16,42,0,3,180,481
SAL22138,16,31,0,0,0,7,0,0,7,33,7,39,0,0,0,0,4,6,4,6,9,42,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,26,74
SAL22139,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,7,0,0,8,18
SAL22140,8,13,0,3,0,0,0,0,0,4,0,9,0,4,0,0,0,0,0,10,4,16,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,11,26
SAL22141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0
SAL22142,65,137,0,8,5,30,4,7,18,74,27,122,10,35,3,17,10,30,26,85,55,207,0,7,3,5,0,0,8,12,10,23,0,3,0,0,7,12,5,9,14,30,0,0,131,379
SAL22143,15,33,0,0,0,7,0,0,3,17,4,24,0,3,0,0,0,0,0,7,7,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,64
SAL22144,32,62,0,0,5,20,9,28,10,33,20,80,0,0,0,3,4,3,3,8,26,91,0,4,3,9,0,10,8,11,11,35,0,3,0,8,4,7,7,18,18,52,0,6,74,205
SAL22145,141,285,0,0,0,0,0,3,10,38,11,40,0,0,0,14,13,42,17,58,26,93,0,0,0,6,0,0,5,6,6,9,0,0,0,0,6,13,6,13,11,26,4,4,184,410
SAL22146,42,88,3,15,0,0,0,8,16,64,18,89,0,6,12,23,9,30,16,58,37,152,0,0,0,5,0,0,0,4,3,10,0,0,0,0,3,16,3,16,8,29,0,7,93,273
SAL22147,551,1100,12,79,52,258,18,66,278,1126,361,1525,23,117,32,97,122,401,186,617,542,2137,4,15,20,54,8,35,97,264,126,374,4,14,12,38,84,190,103,238,228,608,21,47,1345,3895
SAL22148,126,251,3,10,15,73,0,0,54,241,75,322,5,27,16,43,24,74,45,149,123,472,0,0,5,10,0,0,13,24,17,40,0,0,0,6,12,26,14,33,32,69,4,6,279,795
SAL22149,105,209,3,15,8,22,0,4,31,133,39,171,3,20,7,28,23,70,38,117,75,292,0,0,0,0,0,0,7,19,7,19,0,5,0,0,7,11,6,18,14,40,0,0,194,534
SAL22150,6,21,0,3,0,0,0,0,0,6,3,8,0,0,0,0,7,21,11,23,15,33,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,5,3,9,0,6,25,64
SAL22151,288,576,4,25,11,66,4,8,125,449,144,552,6,21,14,49,35,110,57,176,199,731,3,10,12,30,3,15,95,235,111,288,5,10,12,34,93,195,111,236,223,522,16,34,726,1869
SAL22152,22,41,0,0,0,0,0,4,4,9,3,10,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,8,0,8,4,9,0,0,27,68
SAL22153,11,20,0,0,0,0,0,4,4,19,9,28,0,0,0,0,0,0,0,0,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,52
SAL22154,55,107,0,0,4,19,0,0,5,7,6,27,3,8,5,9,10,27,14,49,19,74,0,0,0,0,0,0,5,15,5,15,0,0,0,3,5,9,10,11,11,23,0,0,84,206
SAL22155,25,40,0,0,0,0,0,0,7,39,7,39,0,0,0,3,5,3,4,9,13,49,0,0,0,0,0,4,0,0,0,8,0,0,4,0,5,7,8,7,10,15,0,3,45,108
SAL22156,0,0,0,0,0,0,0,0,4,12,4,12,0,0,0,10,0,0,0,10,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18
SAL22157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL22158,3,7,0,0,0,7,0,0,0,0,0,7,0,0,0,0,3,10,3,10,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,5,0,0,7,22
SAL22159,4,13,0,0,0,0,0,0,5,31,5,31,0,0,0,0,0,5,0,5,9,31,0,3,0,0,0,0,0,5,4,10,0,0,0,0,0,0,0,0,3,9,0,4,16,56
SAL22160,265,526,9,39,35,164,8,27,188,759,230,984,48,228,56,199,91,297,198,718,429,1704,0,9,7,16,0,0,15,47,21,64,3,18,6,12,34,76,42,102,67,171,7,17,764,2416
SAL22161,5059,10220,60,351,446,2073,93,428,3220,12012,3817,14862,280,1242,409,1423,1013,3397,1699,6064,5511,20926,19,105,115,397,45,171,692,1781,871,2455,100,349,217,486,1128,2544,1450,3380,2316,5829,374,792,13259,37763
SAL22162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL22163,9,15,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,5,0,5,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,38
SAL22164,153,306,0,7,10,27,0,7,27,106,37,144,0,11,4,17,14,43,23,74,57,221,0,0,0,3,0,0,7,13,7,19,0,0,0,8,6,14,8,24,18,47,0,3,232,570
SAL22165,10,12,0,0,0,0,0,0,4,16,4,16,0,6,0,0,3,5,3,11,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,0,0,16,45
SAL22166,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12
SAL22167,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL22168,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAL22169,3,7,0,0,0,0,0,0,3,11,3,11,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,11,27
SAL22170,3632,7248,11,45,138,585,16,66,1208,4356,1368,5055,72,289,220,750,264,842,554,1878,1917,6932,4,30,52,171,14,59,253,616,328,871,32,102,132,302,367,804,537,1213,865,2087,242,501,6662,16768
SAL22171,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10
SAL22172,483,971,7,37,67,303,13,77,315,1223,402,1641,46,187,61,212,112,370,220,764,626,2405,0,12,13,37,6,16,49,124,74,190,8,30,22,50,52,107,85,191,151,385,10,24,1273,3782
SAL22173,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,5,9,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22
SAL22174,1951,3920,29,169,212,973,34,142,1347,5022,1621,6306,88,385,163,569,349,1138,598,2088,2218,8389,7,36,61,207,19,47,255,636,344,926,43,145,141,330,297,641,484,1114,828,2039,81,183,5078,14534
SAL22175,963,1937,18,119,132,602,19,99,853,3237,1024,4061,75,340,106,378,211,680,388,1394,1412,5450,8,23,25,79,6,12,156,382,193,495,26,88,57,119,185,390,270,600,458,1092,41,88,2882,8571
SAL22176,1058,2129,20,84,176,784,17,80,722,2817,926,3772,107,450,168,621,285,916,558,1978,1485,5749,8,22,18,66,11,32,79,196,116,316,27,100,43,107,157,326,231,537,343,857,18,42,2904,8772
SAL22177,35,72,0,3,5,18,0,0,15,69,22,95,3,10,0,5,7,27,11,39,30,130,0,0,0,5,0,0,6,8,4,17,0,4,0,0,3,10,8,11,13,25,0,0,79,235
SAL22178,155,306,0,4,12,56,0,5,57,229,76,293,9,21,12,37,25,64,37,127,113,424,0,0,3,5,0,5,9,23,13,31,3,7,9,14,12,27,28,53,39,85,4,11,309,823
SAL22179,172,340,0,12,10,66,10,28,95,376,116,483,6,20,10,41,3,15,21,81,140,561,0,0,3,6,0,5,18,46,25,55,0,9,10,20,14,42,28,64,50,122,10,24,373,1037
SAL22180,39,68,0,0,3,20,0,0,19,86,28,110,5,8,6,9,6,21,14,39,39,145,0,0,0,0,0,0,0,16,0,16,0,0,0,3,0,3,4,7,3,21,6,8,78,238
SAL22181,25,48,0,3,3,9,0,0,8,45,17,60,0,0,0,0,4,6,4,6,15,66,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,0,0,0,3,7,0,3,46,125
SAL22182,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,10,23
SAL22183,290,594,10,49,28,138,4,35,173,736,218,955,14,80,15,35,40,132,67,256,286,1210,4,6,6,28,3,21,44,139,58,190,0,5,6,5,42,95,49,105,107,297,27,53,713,2154
SAL22184,439,873,6,26,22,102,7,27,118,495,150,655,13,52,24,68,64,209,98,329,253,983,0,13,6,23,13,35,49,133,63,200,9,24,13,26,47,95,62,144,127,343,18,29,835,2232
SAL22185,14,28,0,0,0,0,0,0,7,19,7,19,0,0,0,0,0,3,3,9,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,59
SAL22186,217,448,4,36,20,105,3,11,252,957,285,1107,18,72,8,39,21,75,53,189,339,1301,0,0,8,32,3,18,43,112,51,160,4,12,0,0,31,77,40,90,86,245,14,34,663,2028
SAL22187,0,7,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
SAL22188,5,17,0,0,0,3,0,0,0,6,4,4,0,3,0,0,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29
SAL22189,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL22190,26,57,0,0,4,8,0,0,16,61,20,72,0,0,0,11,6,27,12,34,29,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,12,0,6,58,172
SAL22191,20,46,0,0,3,21,0,4,7,37,13,63,0,6,0,4,7,22,7,32,20,91,0,0,0,0,0,0,4,7,4,7,0,0,0,0,5,9,3,8,11,19,0,0,53,157
SAL22192,4,9,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,5,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,4,11,4,11,0,4,14,27
SAL22193,655,1304,9,50,78,369,26,116,410,1628,526,2157,49,212,66,233,152,489,265,932,788,3089,3,16,10,49,9,25,84,251,109,340,10,41,18,37,68,147,99,224,204,567,10,21,1658,4977
SAL22194,833,1663,5,21,107,501,4,30,702,2733,823,3285,57,244,141,503,190,620,389,1369,1210,4653,0,0,21,71,0,0,86,202,115,277,15,35,43,90,120,250,172,383,286,657,24,51,2346,7025
SAL22195,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,4,11,4,11,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,10,23
SAL22196,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL22197,13,17,0,9,0,7,0,0,8,29,9,43,0,0,0,0,6,17,6,17,14,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,0,33,89
SAL22198,1770,3571,20,117,119,550,20,113,667,2601,827,3379,60,250,81,275,292,909,428,1432,1263,4812,11,43,47,169,26,80,266,683,350,972,24,82,71,166,326,712,423,951,774,1927,64,130,3861,10438
SAL22199,216,429,4,10,13,55,5,38,88,334,106,439,6,21,15,48,37,126,57,197,168,633,0,0,4,17,8,20,29,87,38,122,0,6,3,9,29,66,32,81,78,204,4,14,465,1279
SAL22200,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
SAL22201,16,27,0,4,0,18,0,0,10,32,13,59,0,4,0,8,0,6,3,18,20,73,0,0,0,0,0,4,0,0,3,4,0,0,0,0,0,0,0,0,5,6,0,0,41,112
SAL22202,6,11,0,0,0,5,0,4,3,16,6,25,0,0,0,0,0,0,0,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34
SAL22203,120,243,4,21,26,114,9,30,89,376,118,545,15,65,13,49,34,116,66,228,189,778,0,0,8,13,0,0,6,23,11,32,0,3,5,7,11,29,16,38,28,66,3,6,344,1088
SAL22204,5,4,0,0,0,0,0,0,3,10,3,10,0,0,0,0,0,3,0,3,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20
SAL22205,3,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
SAL22206,34,58,0,0,5,15,0,0,11,58,15,73,0,8,7,7,4,15,7,29,22,102,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,10,0,0,57,169
SAL22207,3206,6481,64,367,487,2162,92,428,2225,8651,2872,11613,449,1932,624,2246,1342,4475,2412,8652,5286,20269,8,36,97,319,21,69,310,799,437,1226,77,246,149,338,523,1202,751,1793,1183,3016,108,226,9779,29994
SAL22208,1054,2164,183,1127,550,2934,127,656,1464,6227,2325,10935,376,1767,270,998,774,2781,1419,5545,3747,16483,40,210,71,295,46,181,260,808,416,1499,80,296,85,207,407,1026,569,1528,991,3030,69,161,5858,21838
SAL22209,14,19,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28
SAL22210,31,50,0,4,0,12,0,9,11,42,15,58,4,10,4,14,4,15,10,33,20,93,0,0,0,6,0,0,3,6,3,12,0,0,0,0,3,12,3,12,8,18,0,0,59,169
SAL22211,30,69,0,0,0,15,0,0,7,27,6,38,0,0,0,0,7,8,7,8,12,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,4,5,48,118
SAL22212,6,10,0,0,0,0,0,0,3,13,3,13,0,0,0,3,0,0,0,3,4,17,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,8,3,7,0,0,13,33
SAL22213,9,18,0,0,0,8,0,0,4,13,7,20,0,3,0,0,0,6,0,6,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,44
SAL22214,83,166,0,0,9,37,0,17,21,89,29,139,3,10,3,14,6,21,15,43,48,183,0,7,4,12,0,0,3,10,11,25,0,0,5,5,9,18,14,23,19,51,0,3,149,397
SAL22215,192,387,0,0,12,61,0,9,47,197,67,269,5,11,0,0,29,87,29,99,98,364,0,0,3,9,6,12,13,39,20,65,4,9,5,10,23,44,32,62,49,127,13,17,349,903
SAL22216,6,19,0,0,0,9,0,0,0,10,4,22,0,0,0,6,4,7,9,16,7,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,21,59
SAL22217,333,659,3,23,22,103,6,13,144,552,175,693,12,39,17,62,51,153,75,251,252,942,0,9,10,42,3,26,43,121,64,191,6,19,9,18,34,76,49,112,112,306,12,27,708,1937
SAL22218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL22219,55,103,0,0,6,16,3,11,19,64,22,89,0,0,3,11,13,24,11,35,37,126,0,0,0,4,4,3,0,0,4,13,0,3,0,0,3,5,8,12,9,20,0,0,94,254
SAL22220,1274,2549,12,51,75,331,22,89,457,1762,562,2231,26,123,58,192,199,620,282,930,843,3165,7,29,16,49,12,41,130,325,168,443,15,50,35,90,157,338,211,477,381,916,30,61,2532,6693
SAL22221,7,12,0,0,0,0,0,0,7,12,7,12,0,3,0,4,0,0,4,8,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,26
SAL22222,1008,2025,16,86,58,258,15,65,259,997,347,1410,36,145,52,179,128,402,216,729,561,2141,0,0,23,64,11,26,81,199,113,290,14,46,42,99,84,191,144,336,260,626,17,25,1840,4810
SAL22223,7,18,0,0,0,9,0,0,9,19,3,19,0,0,4,7,0,3,0,11,10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,16,54
SAL22224,97,185,3,8,3,19,3,11,32,137,39,166,4,31,4,9,20,54,29,92,69,266,0,4,6,13,0,8,21,63,25,85,0,0,8,5,21,51,24,58,50,144,5,9,217,608
SAL22225,13,23,0,0,0,3,0,0,3,9,4,9,0,0,0,6,6,8,3,13,8,22,0,0,0,0,0,0,3,10,3,10,0,0,0,3,0,3,0,0,7,13,0,0,23,62
SAL22226,1605,3206,20,116,127,569,34,149,806,3163,985,3999,63,258,105,345,199,630,369,1236,1365,5229,14,47,51,181,38,152,276,737,377,1114,28,87,65,148,245,512,338,737,711,1854,60,131,3742,10414
SAL22227,7,16,0,0,3,9,0,0,0,6,5,13,0,0,0,3,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,30
SAL22228,13,22,0,0,0,3,0,0,0,7,4,11,0,0,0,0,3,10,3,10,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,44
SAL22229,252,502,0,9,12,56,6,35,92,361,112,462,6,10,14,48,28,81,42,139,155,601,0,0,6,11,0,3,18,41,22,65,0,0,11,17,19,42,29,54,52,117,6,9,463,1226
SAL22230,16,33,0,0,0,4,0,0,10,21,9,29,0,0,0,0,0,4,0,4,6,30,0,0,0,0,0,0,4,11,4,11,0,0,0,0,3,3,3,3,8,18,3,0,30,86
SAL22231,0,0,0,0,0,0,0,0,5,9,5,9,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
SAL22232,586,1181,11,48,99,427,12,62,461,1776,582,2318,52,207,83,280,138,459,270,944,853,3262,4,11,11,27,5,15,46,121,68,178,9,24,13,30,47,108,69,162,137,335,6,13,1575,4792
SAL22233,15,30,0,0,0,4,0,0,6,12,6,18,0,0,0,4,0,3,4,7,7,21,0,0,0,0,0,0,0,5,0,5,0,0,4,5,0,0,4,5,4,12,0,0,22,60
SAL22234,1211,2420,17,87,158,737,3,21,688,2656,869,3501,85,350,215,772,188,623,487,1742,1363,5243,0,9,16,52,3,10,99,223,120,299,20,55,79,180,112,237,212,477,338,772,19,41,2928,8474
SAL22235,33,66,0,4,0,9,0,0,8,49,15,68,0,0,0,7,6,16,6,18,21,88,0,0,0,3,0,0,0,3,3,7,0,0,0,0,0,10,0,11,9,13,0,0,60,170
SAL22236,51,97,0,0,3,19,0,0,12,51,15,67,0,6,0,3,5,23,9,29,28,92,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,11,9,6,8,16,0,4,82,210
